movielens_id,tmdb_id,title,genres,overview,runtime,release_date,tagline,vote_count,vote_average,poster_path,backdrop_path,cast,director,keywords,score,movie_id
17,4584,Sense and Sensibility,"['Drama', 'Romance']","The Dashwood sisters, sensible Elinor and passionate Marianne, learn that their prospects of marriage seem doomed by their family's sudden loss of fortune. After Henry Dashwood dies unexpectedly, his estate must pass on by law to his son. These circumstances leave Mr. Dashwood's wife and daughters without a home and with barely enough money to live on. As Elinor and Marianne struggle to find romantic fulfillment in a society obsessed with financial and social status, they must learn to mix sense with sensibility in their dealings with both money and men.",136,1995-12-13,Lose your heart and come to your senses.,1819,7.4,/cBK2yL3HqhFvIVd7lLtazWlRZPR.jpg,/cFnyfWHL6HjOOVal6lp8e5gqibK.jpg,"['Emma Thompson', 'Kate Winslet', 'Alan Rickman']",Ang Lee,"['secret love', 'london, england', 'countryside', 'based on novel or book', 'widow', 'military officer', 'servant', 'country life', 'pneumonia', 'inheritance', 'period drama', 'rainstorm', 'decorum', 'horse carriage', 'young love', 'dowry', 'social class', '19th century', 'penniless', 'social elite', 'bloodletting', 'free spirited', 'sussex', 'sisters love', 'marry for money', 'secret engagement', 'devonshire, england']",7.223281703380476,10
23,9691,Assassins,"['Action', 'Adventure', 'Crime', 'Thriller']","Assassin Robert Rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders, Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself.",132,1995-10-06,In the shadows of life. In the business of death. One man found a reason to live.,1689,6.493,/wPmZYnaQpxwoHmwNwVhZ2IY0UbF.jpg,/sYpmWBe1IO7Fxthtw3UmlzQEylK.jpg,"['Sylvester Stallone', 'Antonio Banderas', 'Julianne Moore']",Richard Donner,"['rescue', 'central intelligence agency (cia)', 'hitman', 'cat', 'bank', 'mexican standoff', 'seattle, washington', 'mission of murder', 'hidden camera', 'rivalry', 'shootout', 'police chase', 'sniper rifle', 'detroit, michigan', 'silencer', 'double cross', 'caribbean sea']",7.050209678518716,11
25,451,Leaving Las Vegas,"['Drama', 'Romance']","Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",111,1995-10-27,I love you... The way you are.,1629,7.254,/wTrFpGe3U65kXTldIUxuM2hmOAK.jpg,/uqYjy4MwB4vZScpUPGdINVaSeTd.jpg,"['Nicolas Cage', 'Elisabeth Shue', 'Julian Sands']",Mike Figgis,"['hotel room', 'dying and death', 'individual', 'prostitute', 'lovesickness', 'rage and hate', 'casino', 'unsociability', 'alcohol', 'love at first sight', 'movie business', 'screenwriter', 'alcoholism', 'los angeles, california', 'las vegas', 'alcohol abuse', 'dramatic', 'depressing', 'tragic']",7.192868499095708,12
22,1710,Copycat,"['Thriller', 'Crime', 'Mystery']",An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,124,1995-10-27,"One man is copying the most notorious killers in history one at a time. Together, two women must stop him from killing again. Or they’re next.",1237,6.469,/oMgwJb016znNZcpDR20eXxZoW8A.jpg,/f0wTYitK1lELuGygXslG7SQpY0E.jpg,"['Sigourney Weaver', 'Holly Hunter', 'Dermot Mulroney']",Jon Amiel,"['police brutality', 'psychology', 'police operation', 'police protection', 'psychologist', 'serial killer', 'cowardliness']",7.0762490796849535,13
24,12665,Powder,"['Drama', 'Fantasy']","Harassed by classmates who won't accept his shocking appearance, a shy young man known as ""Powder"" struggles to fit in. But the cruel taunts stop when Powder displays a mysterious power that allows him to do incredible things. This phenomenon changes the lives of all those around him in ways they never could have imagined.",112,1995-10-27,An extraordinary encounter with another human being.,705,7.0,/aQSA63T7zyzZxBZxr2MQaxt1gtO.jpg,/gAeFtnwgF4asNVbmrudWMHOilWj.jpg,"['Mary Steenburgen', 'Sean Patrick Flanery', 'Lance Henriksen']",Victor Salva,"['teenage boy', 'held at gunpoint', 'teacher student relationship', 'albino', 'fainting', 'christ allegory', 'psionic power', 'healing power', 'flickering light', 'extrasensory perception', 'pale', 'powerful']",7.1634244287921405,14
31,9909,Dangerous Minds,['Drama'],"Former Marine Louanne Johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious inner-city high school. After having a terrible first day, she decides she must throw decorum to the wind. When Johnson returns to the classroom, she does so armed with a no-nonsense attitude informed by her military training and a fearless determination to better the lives of her students -- no matter what the cost.",99,1995-08-11,She broke the rules... and changed their lives.,1248,6.95,/yWHWC8fJRp2kLgiFrEa8o3krOH9.jpg,/k28lTv01nuncbs9Y2WZh6FQunqv.jpg,"['Michelle Pfeiffer', 'George Dzundza', 'Courtney B. Vance']",John N. Smith,"['high school', 'california', 'rap music', 'karate', 'naval officer', 'teacher', 'based on memoir or autobiography', 'amusement park', 'schoolteacher']",7.145733021125821,15
27,9263,Now and Then,"['Comedy', 'Drama', 'Romance']","Waxing nostalgic about the bittersweet passage from childhood to puberty, four childhood girlfriends — Teeny, Chrissy, Samantha and Roberta — recall the magical summer of 1970. During their walk down memory lane, they reconcile experiences with boys, secrets, bullies and more.",102,1995-10-20,In every woman there is the girl she left behind.,472,6.9,/q31Ks8oAmM4Nq2CcGjyYYpdBAmh.jpg,/ic529Vlnxmp2ArVSYr5vBLoNFEK.jpg,"['Christina Ricci', ""Rosie O'Donnell"", 'Thora Birch']",Lesli Linka Glatter,"['1970s', 'female friendship', 'coming of age', 'gynecologist', 'photocopier', 'truth or dare', 'woman director']",7.162249973964543,16
32,63,Twelve Monkeys,"['Science Fiction', 'Thriller', 'Mystery']","In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly and the son of a famous virus expert who may hold the key to the Army of the 12 Monkeys; thought to be responsible for unleashing the killer disease.",129,1995-12-29,The future is history.,9032,7.604,/gt3iyguaCIw8DpQZI1LIN5TohM2.jpg,/mKIkGoyuR71qz6FdiEiOjxvBQcS.jpg,"['Bruce Willis', 'Madeleine Stowe', 'Brad Pitt']",Terry Gilliam,"['biological weapon', 'philadelphia, pennsylvania', 'schizophrenia', 'stockholm syndrome', 'airplane', 'world war i', 'underground', 'insanity', 'asylum', 'paranoia', 'prison cell', 'dystopia', 'pimp', 'lion', 'post-apocalyptic future', 'time travel', 'florida keys', 'mental breakdown', 'melancholy', 'past', 'dormitory', 'insane asylum', 'volunteer', 'drug use', 'flashback', 'remake', 'psychiatric hospital', 'jail', 'mental institution', 'alternate history', 'disease', 'lethal virus', 'paradox', 'psychiatrist', 'monkey', 'epidemic', 'trapped', 'street life', 'nonlinear timeline', 'medical research', 'gas mask', 'psychosis', 'subterranean', 'virus', 'mysterious', 'recurring dream', '1990s', 'reflective', 'escaped animal', 'future noir', 'animal research', 'anxious', '2030s', 'irreverent', 'inspirational', 'absurd', 'suspenseful', 'critical', 'intense', 'complicated', 'ominous']",7.414203365740395,17
29,902,The City of Lost Children,"['Fantasy', 'Science Fiction', 'Adventure']","A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",112,1995-05-17,Where happily ever after is just a dream.,1204,7.24,/whwT3Q9JxbAYzEc3t7uYYcCbTMf.jpg,/f5ynCAQ1MuDgwoVyjouTw6UgK1l.jpg,"['Ron Perlman', 'Dominique Pinon', 'Judith Vittet']",Jean-Pierre Jeunet,"['rescue', 'friendship', 'island', 'dreams', 'clone', 'dystopia', 'eye', 'aging', 'steampunk', 'childhood', 'child kidnapping', 'flea']",7.187828331562166,18
36,687,Dead Man Walking,['Drama'],A death row inmate turns for spiritual guidance to a local nun in the days leading up to his scheduled execution for the murders of a young couple.,122,1995-12-29,,1485,7.321,/eShxyjhWoFl3BwsuEmVsr4nLaMZ.jpg,/gwRWQeHfPuA8mg73kydQsM8rdXq.jpg,"['Susan Sarandon', 'Sean Penn', 'Robert Prosky']",Tim Robbins,"['prison', 'death penalty', 'right and justice', 'rape', 'rage and hate', 'unsociability', 'court case', 'court', 'nun', 'penalty', 'therapist', 'sentence', 'forgiveness', 'self-discovery', 'despair', 'prison cell', 'socially deprived family', 'death row', 'doomed man', 'death sentence', 'lethal injection', 'charity', 'mercy petition', 'cowardliness', 'catholic', 'angry', 'dreary', 'incredulous', 'depressing', 'bitter', 'callous', 'horrified']",7.203197773690504,19
38,33689,It Takes Two,"['Comedy', 'Family', 'Romance']","Identical 9-year-olds from very different backgrounds: orphaned Amanda and wealthy Alyssa meet at summer camp and decide to switch places -- and play matchmaker between Alyssa's dad, Roger, and the kind social worker who cares for Amanda.",101,1995-11-17,Two identical strangers. Two different worlds. One perfect match.,957,6.5,/4CptjFLiIJXtjc3dykS7vkEHMbw.jpg,/yS3E5LOcFsk3eWGh3oWGnsfV1M8.jpg,"['Kirstie Alley', 'Steve Guttenberg', 'Ashley Olsen']",Andy Tennant,"['matchmaking', 'orphan', 'identical twin', 'relationship sabotage']",7.1004485855454975,20
39,9603,Clueless,"['Comedy', 'Romance']","Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him.",97,1995-07-19,Sex. Clothes. Popularity. Is there a problem here?,4757,7.252,/8AwVTcgpTnmeOs4TdTWqcFDXEsA.jpg,/65d0MccsiRSPTVicregKQL8owoo.jpg,"['Alicia Silverstone', 'Stacey Dash', 'Brittany Murphy']",Amy Heckerling,"['puberty', 'high school', 'based on novel or book', 'make a match', 'spoiled child', 'coming of age', 'matchmaking', 'conflict', 'wedding', 'high school friends', 'makeover', 'woman director', 'popular girl', 'matchmaker', 'gay theme', 'match making', 'cheerful']",7.207945152527775,21
48,10530,Pocahontas,"['Adventure', 'Animation', 'Family', 'Romance']","Pocahontas, daughter of a Native American tribe chief, falls in love with an English soldier as colonists invade 17th century Virginia.",81,1995-06-16,An American legend comes to life.,6035,6.911,/kZ1ft0QZ4e3zDUPMBftEkwI9ftd.jpg,/9YAVIwBcBrLXeukg2dgMGfYB1uu.jpg,"['Irene Bedard', 'Mel Gibson', 'David Ogden Stiers']",Mike Gabriel,"['culture clash', 'cartoon', 'villain', 'colony', 'forbidden love', 'musical', 'native american', 'unrequited love', 'interracial romance', 'colonisation', 'virginia', 'star crossed lovers', 'intercultural relationship', 'based on myths, legends or folklore', '17th century', 'shamanism', 'animal sidekick', 'search for gold', '1600s']",7.057786271129249,22
50,629,The Usual Suspects,"['Drama', 'Crime', 'Thriller']","Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.",106,1995-07-19,Five criminals. One line up. No coincidence.,11290,8.17,/99X2SgyFunJFXGAYnDv3sb9pnUD.jpg,/hy0Hx9fMPk2fmw26Li60z1S2giU.jpg,"['Stephen Baldwin', 'Gabriel Byrne', 'Benicio del Toro']",Bryan Singer,"['new york city', 'robbery', 'relatives', 'heist', 'flashback', 'police corruption', 'whodunit', 'los angeles, california', 'theft', 'criminal', 'criminal mastermind', 'cargo ship', 'mind game', 'neo-noir', 'mystery villain', 'suspenseful', 'intense', 'excited', 'rashomon effect']",7.7810940900387955,23
45,577,To Die For,"['Drama', 'Comedy', 'Crime']","Suzanne Stone wants to be a world-famous news anchor and she is willing to do anything to get what she wants. What she lacks in intelligence, she makes up for in cold determination and diabolical wiles. As she pursues her goal with relentless focus, she is forced to destroy anything and anyone that may stand in her way, regardless of the ultimate cost or means necessary.",106,1995-09-22,All she wanted was a little attention.,870,6.594,/whz4bwvqE1OmQHIyqHdZD8jU9CO.jpg,/2g58NnfO9ecZc0VcP0i0EVyKV7m.jpg,"['Nicole Kidman', 'Matt Dillon', 'Joaquin Phoenix']",Gus Van Sant,"['pedophilia', 'adultery', 'based on novel or book', 'winter', 'obsession', 'housewife', 'new hampshire', 'mockumentary', 'mafia', 'newswoman', 'ice skating', 'murder trial', 'narcissistic personality disorder', 'satirical', 'fame-seeking', 'tv presenter', 'weather girl', 'punks', 'punk kids']",7.116862227379946,24
47,807,Se7en,"['Crime', 'Mystery', 'Thriller']","Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Somerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",127,1995-09-22,Gluttony. Greed. Sloth. Envy. Wrath. Pride. Lust.,22873,8.38,/191nKfP0ehp3uIvWqgPbFmI4lv9.jpg,/i5H7zusQGsysGQ8i6P361Vnr0n2.jpg,"['Morgan Freeman', 'Brad Pitt', 'Gwyneth Paltrow']",David Fincher,"['rage and hate', 'police', 's.w.a.t.', 'sadism', 'self-fulfilling prophecy', 'psychopath', 'detective', 'investigation', 'insomnia', 'murder', 'serial killer', 'religion', 'shootout', 'corpse', 'seven deadly sins', 'depravity', 'neo-noir', 'grim', 'urban gothic', 'anxious', 'suspenseful', 'disdainful', 'seven: los siete pecados capitales']",8.089632816543967,25
52,11448,Mighty Aphrodite,"['Comedy', 'Romance']","When Lenny and his wife, Amanda, adopt a baby, Lenny realizes that his son is a genius and becomes obsessed with finding the boy's biological mother in hopes that she will be brilliant too. But when he learns that Max's mother is Linda Ash, a kindhearted prostitute and porn star, Lenny is determined to reform her immoral lifestyle. A Greek chorus chimes in to relate the plot to Greek mythology in this quirky comedy.",95,1995-09-13,"Of all human weaknesses, obsession is the most dangerous, and the silliest!",736,6.7,/ice135yQZp4iX2SgCmd90nKgS5j.jpg,/hSY4PYJSFW5JWeQqOs2LAzG0W8a.jpg,"['Woody Allen', 'Mira Sorvino', 'Helena Bonham Carter']",Woody Allen,"['prostitute', 'adoption', 'adoptive father', 'child prodigy', 'childlessness', 'looking for  birth parents', 'porn star', 'adoptive mother', 'illegal prostitution', 'pygmalion', 'kids', 'adopted son']",7.135300490938974,26
62,2054,Mr. Holland's Opus,"['Drama', 'Music']","In 1965, passionate musician Glenn Holland takes a day job as a high school music teacher, convinced it's just a small obstacle on the road to his true calling: writing a historic opus. As the decades roll by with the composition unwritten but generations of students inspired through his teaching, Holland must redefine his life's purpose.",143,1995-12-29,"Of all the lives he changed, the one that changed the most was his own.",447,6.968,/kBmwWeSN3ajnYHZ3dSybEobxEPI.jpg,/oUptKQLatCgywVDx0ETVhq7knHt.jpg,"['Richard Dreyfuss', 'Glenne Headly', 'Jay Thomas']",Stephen Herek,"['high school', 'husband wife relationship', 'composer', 'music teacher', 'mentor', 'deaf-mute', 'portland, oregon', 'marching band', 'teacher student relationship', 'high school teacher', 'disabled', 'teaching', 'retirement party', 'sign languages', 'forced retirement', '1960s', '1990s', 'father son relationship', 'inspiring teacher']",7.167022871414733,27
63,10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,"['Comedy', 'Crime']","When Ashtray moves to South Central L.A. to live with his father (who appears to be the same age he is) and grandmother (who likes to talk tough and smoke reefer), he falls in with his gang-banging cousin Loc Dog, who along with the requisite pistols and Uzi carries a thermo-nuclear warhead for self-defense. Will Ashtray be able to keep living the straight life?",89,1996-01-12,"Finally, the movie that proves that Justice isn't always Poetic, Jungle Fever isn't always pretty, and Higher Learning can be a waste of time.",1479,7.025,/HZQBF7JDd2e9p4rPSbSHuWHaCC.jpg,/dfkE2LppPbJ1qUzi3tdND5iuMFp.jpg,"['Shawn Wayans', 'Marlon Wayans', 'Tracey Cherelle Jones']",Paris Barclay,"['hip-hop', 'slang', 'date', 'gangster', 'cousin', 'parody', 'social satire', 'hood', 'gang', 'racism', 'satirical']",7.153222184928369,28
70,755,From Dusk Till Dawn,"['Horror', 'Action', 'Thriller', 'Crime']","After kidnapping a father and his two kids, the Gecko brothers head south to a seedy Mexican bar to hide out in safety, unaware of its notorious vampire clientele.",108,1996-01-19,One night is all that stands between them and freedom. But it's going to be one hell of a night.,6439,7.0,/sV3kIAmvJ9tPz4Lq5fuf9LLMxte.jpg,/phiRQhfwZZeMMn3osvQUmGYmJbp.jpg,"['George Clooney', 'Quentin Tarantino', 'Harvey Keitel']",Robert Rodriguez,"['dancing', 'showdown', 'sheriff', 'sibling relationship', 'vampire', 'bank robber', 'holy water', 'siege', 'stripper', 'priest', 'bank robbery', 'preacher', 'hostage situation', 'crucifix', 'recreational vehicle', 'mexican american border', 'female stripping', 'boa constrictor', 'loss of faith', 'foot fetish', 'killer on the run', 'brothers', 'barefoot', 'witty', 'joyful']",7.095194572107383,29
69,10634,Friday,"['Comedy', 'Drama']","Craig and Smokey are two guys in Los Angeles hanging out on their porch on a Friday afternoon, smoking and drinking, looking for something to do.",91,1995-04-26,A lot can go down between Thursday and Saturday...,1984,7.138,/2lReF53F8trkC68piGSfk0JVwWU.jpg,/y3E6gIZkRILqNmp7nCLkHPg0WXF.jpg,"['Ice Cube', 'Chris Tucker', 'Nia Long']",F. Gary Gray,"['drug dealer', 'rap music', 'parent child relationship', 'rapper', 'male friendship', 'urban life', 'slacker', 'pot smoking', 'bully', 'marijuana', 'los angeles, california', 'drugs']",7.170404863917836,30
97,406,La Haine,['Drama'],"After a chaotic night of rioting in a marginal suburb of Paris, three young friends, Vinz, Hubert and Saïd, wander around unoccupied waiting for news about the state of health of a mutual friend who has been seriously injured when confronting the police.",98,1995-05-31,"How far you fall doesn't matter, it's how you land…",4496,8.085,/8rgPyWjYZhsphSSxbXguMnhN7H0.jpg,/k61xLJgPo7ScxHLLiBzTM9IDaB7.jpg,"['Vincent Cassel', 'Hubert Koundé', 'Saïd Taghmaoui']",Mathieu Kassovitz,"['police brutality', 'hip-hop', 'paris, france', 'socially deprived family', 'breakdance', 'ghetto', 'male friendship', 'street riots', 'racism', 'black and white', 'rebellious youth', 'xenophobia', 'housing project', 'ethnic diversity', 'riot police', 'day in a life', 'frantic', 'skinheads', 'paris suburb', 'gun death', 'police shooting', 'urban violence']",7.524596668061505,31
101,13685,Bottle Rocket,"['Comedy', 'Crime', 'Drama']","Upon his release from a mental hospital following a nervous breakdown, the directionless Anthony joins his friend Dignan, who seems far less sane than the former. Dignan has hatched a harebrained scheme for an as-yet-unspecified crime spree that somehow involves his former boss, the (supposedly) legendary Mr. Henry.",91,1996-02-21,"They're not really criminals, but everyone's got to have a dream.",1180,6.698,/wOPiNYt9V3Cbr9Izeddwj7nU8RT.jpg,/wWZjmgJC2m2jy4UAPtRAsakNtG7.jpg,"['Luke Wilson', 'Owen Wilson', 'Robert Musgrave']",Wes Anderson,"['robbery', 'sibling relationship', 'burglar', 'motel', 'language barrier', 'heist', 'psychiatric hospital', 'maid', 'theft', 'nervous breakdown', 'escapade', 'laundry room', 'based on short film', 'joyous', 'absurd']",7.112217174166676,32
105,688,The Bridges of Madison County,"['Drama', 'Romance']",Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson for four days in the 1960s.,135,1995-06-02,The path of Francesca Johnson's future seems destined due to an unexpected fork in the road...,2344,7.704,/aCBrhOQjhG397GLkEZ49zReQEKX.jpg,/4TnGcUsyd6ixuLWHaaEG5BGkAIp.jpg,"['Meryl Streep', 'Clint Eastwood', 'Annie Corley']",Clint Eastwood,"['adultery', 'secret love', 'husband wife relationship', 'based on novel or book', ""love of one's life"", 'unsociability', 'marriage crisis', 'photographer', 'love at first sight', 'photography', 'peasant', 'mother role', 'iowa', 'bridge', 'housewife', 'love letter', 'romantic']",7.3068323570437075,33
