user_id,openness,conscientiousness,extraversion,agreeableness,neuroticism
1878,3.07,2.78,2.3,2.53,3.14
1908,3.33,2.8,2.79,3.17,2.95
1948,3.16,2.99,2.67,2.55,3.34
1959,2.92,2.81,2.79,2.75,3.19
1961,3.23,2.89,2.61,2.93,2.96
1974,3.34,2.51,2.9,2.89,3.3
2088,3.11,2.56,2.47,2.39,3.45
2107,4.76,1.0,1.4,1.2,5.0
2118,4.1,1.24,1.84,2.21,4.0
2179,3.47,2.85,2.51,2.73,3.21
2190,4.68,2.61,1.45,2.58,3.19
2254,2.27,3.8,3.85,3.57,2.29
2258,1.93,3.53,3.05,2.81,2.57
2264,2.88,3.12,2.87,3.24,2.54
2293,1.49,4.93,4.46,5.0,1.0
2319,3.26,2.66,3.17,2.84,3.54
2326,3.17,3.21,2.8,2.86,2.96
2343,4.25,3.31,3.45,4.21,2.49
2353,3.48,3.25,2.81,2.76,3.2
2413,2.54,3.75,3.69,3.92,2.0
2418,1.52,4.38,4.54,3.93,1.74
2459,3.18,2.44,2.2,2.31,3.39
2504,2.41,3.1,3.15,2.89,2.93
2557,3.08,2.86,2.84,2.92,3.04
2578,3.0,2.81,3.61,3.83,2.6
2593,2.47,3.81,3.23,3.63,2.01
2611,3.42,3.53,3.38,3.35,2.95
2614,3.14,2.86,2.43,2.72,2.94
2648,2.37,3.58,3.14,3.36,2.31
2657,3.46,3.37,2.72,3.25,2.61
2745,3.36,1.19,2.82,1.94,4.73
2748,3.42,3.1,2.46,2.62,3.1
2781,2.64,1.95,2.49,1.34,4.62
2790,2.89,3.23,2.42,2.73,2.67
2793,2.97,3.07,3.36,3.04,3.16
2799,3.44,2.5,2.36,2.51,3.37
2803,3.35,2.43,3.05,2.82,3.46
2809,3.37,3.01,2.97,3.27,2.92
2818,2.86,2.84,2.69,2.61,3.18
2844,2.4,3.28,3.32,3.05,2.92
2887,2.11,3.57,3.9,3.98,2.08
2895,3.29,3.11,3.32,3.18,3.09
2918,3.55,2.43,2.47,2.57,3.51
2943,4.24,1.85,1.92,2.48,3.68
2957,3.99,3.19,3.95,4.32,2.57
2958,2.92,2.47,3.96,3.18,3.62
2960,3.32,3.47,3.07,3.31,2.73
2970,3.18,2.8,2.31,2.63,3.16
2973,4.1,2.47,1.52,2.29,3.31
2979,3.42,2.55,2.9,2.65,3.66
3012,3.63,1.99,1.96,2.0,4.01
3024,3.34,2.42,2.73,2.58,3.61
3076,2.51,3.85,3.34,3.5,2.24
3115,2.55,3.53,3.0,3.21,2.44
3123,3.09,2.72,2.5,2.57,3.25
3127,1.75,3.92,4.46,3.99,1.96
3252,3.33,2.89,2.18,2.56,3.0
3270,3.5,2.04,2.59,2.42,3.77
3301,2.97,2.69,2.47,2.47,3.3
3311,3.2,1.83,2.06,1.98,3.96
3349,3.3,2.09,2.61,2.3,3.87
3446,4.04,2.2,2.65,3.26,3.31
3448,3.25,2.43,2.57,2.57,3.45
3450,2.6,3.22,4.01,4.2,2.14
3498,3.44,3.01,2.33,2.73,3.03
3553,3.33,2.99,2.61,2.95,3.0
3564,3.71,2.49,2.07,2.76,3.12
3565,4.01,3.07,2.38,3.01,2.87
3594,3.15,3.08,2.9,3.4,2.55
3647,3.3,2.66,2.85,2.85,3.26
3653,1.89,3.63,3.74,3.21,2.58
3712,1.58,4.17,3.44,3.52,1.7
3742,2.63,2.71,3.17,2.68,3.36
3757,2.68,3.09,4.01,3.95,2.48
3769,3.39,2.58,2.59,2.7,3.36
3811,2.77,2.88,2.51,2.53,3.15
3826,3.06,3.2,2.86,3.25,2.53
3858,2.43,3.01,3.08,2.76,2.97
3862,3.5,2.51,2.42,2.94,3.05
3877,2.43,3.25,3.25,3.22,2.68
3885,3.73,1.62,2.31,1.64,4.64
3898,2.12,4.07,4.43,3.86,2.31
3920,2.82,2.88,3.19,3.09,3.03
3944,3.02,2.99,2.72,2.63,3.28
3960,2.06,3.07,4.9,3.76,2.92
3993,2.89,2.42,2.73,2.59,3.4
4021,2.71,3.23,3.17,3.26,2.66
4053,3.03,2.61,2.22,2.4,3.23
4058,3.13,4.07,3.83,3.61,2.62
4063,2.94,3.19,3.68,3.38,2.86
4100,2.74,2.1,3.33,2.71,3.91
4224,2.81,3.06,2.8,2.79,2.93
4226,3.21,2.59,2.31,2.31,3.36
4246,1.93,3.7,4.38,3.68,2.61
4247,2.46,2.84,3.24,2.75,3.25
4249,2.02,3.5,3.61,3.1,2.69
4262,2.97,2.7,2.99,2.76,3.35
4269,2.9,3.28,3.1,3.25,2.71
4292,3.3,3.31,2.99,3.08,2.8
4300,3.61,2.71,3.05,3.14,3.23
4318,3.47,2.23,2.86,2.41,3.85
4334,2.07,3.39,2.68,2.52,2.71
4347,3.35,2.88,2.42,2.71,3.08
4357,3.04,2.21,2.5,2.28,3.71
4361,2.89,2.55,2.99,2.5,3.69
4388,4.02,2.68,2.86,3.67,2.83
4396,3.86,2.07,2.39,2.22,3.98
4402,3.46,2.71,2.85,2.9,3.28
4412,3.31,2.49,3.36,3.0,3.57
4429,3.42,2.53,2.43,2.46,3.48
4461,3.55,3.27,2.9,3.56,2.48
4522,3.6,2.39,2.47,2.53,3.5
4535,3.55,1.59,1.15,1.15,4.24
4569,3.76,2.47,2.38,2.49,3.55
4617,2.93,3.05,2.56,2.61,3.04
4630,2.89,2.37,5.0,4.56,3.21
4674,3.64,3.04,3.62,3.17,3.46
4682,3.59,3.11,3.38,3.63,2.97
4685,2.94,2.87,2.87,2.8,3.24
4689,3.22,2.73,2.82,2.7,3.39
4691,2.8,3.42,3.16,3.29,2.5
4706,2.74,3.27,3.0,3.15,2.69
4735,2.44,3.39,3.19,3.16,2.6
4754,3.4,2.86,3.09,2.91,3.38
4755,1.63,3.61,2.12,2.05,2.45
4810,1.68,4.67,4.58,4.56,1.19
4813,2.03,3.42,3.21,2.82,2.73
4816,3.1,2.64,2.91,2.7,3.46
4845,2.55,3.29,3.22,3.09,2.8
4868,1.8,4.78,4.17,4.36,1.35
4917,3.63,2.83,2.89,3.28,2.96
4919,2.29,3.25,3.39,3.15,2.73
4934,2.95,2.91,2.81,2.86,3.02
4941,2.89,3.25,3.36,3.31,2.78
4948,2.72,3.13,3.09,3.05,2.86
5003,2.92,3.29,3.17,3.37,2.62
5012,3.41,2.29,2.35,2.69,3.46
5036,3.37,2.72,2.62,2.74,3.21
5040,3.04,2.07,2.01,1.61,4.11
5072,3.54,2.72,2.71,3.16,2.95
5073,2.05,3.86,4.46,3.82,2.51
5076,3.14,3.11,2.56,2.85,2.81
5116,4.05,3.51,3.1,3.92,2.36
5133,2.65,4.01,3.48,4.0,1.76
5146,2.83,3.45,3.22,3.05,2.81
5152,3.18,2.55,3.1,3.04,3.21
5161,3.67,2.3,2.28,2.39,3.67
5199,2.71,3.19,2.07,2.3,2.78
5264,2.59,2.51,3.38,2.4,3.97
5272,3.14,2.28,2.13,2.49,3.3
5295,2.78,2.78,2.7,2.64,3.21
5328,2.21,3.65,4.06,3.77,2.31
5390,2.95,2.44,2.71,2.36,3.75
5400,3.11,3.09,2.74,2.88,3.01
5433,3.22,3.18,2.53,2.97,2.68
5448,2.5,2.78,2.99,2.43,3.46
5491,2.9,2.65,3.15,2.85,3.31
5514,2.83,3.25,3.5,3.63,2.56
5526,3.14,2.32,2.25,2.35,3.43
5570,3.07,2.98,2.8,2.96,2.99
5579,3.43,4.48,2.96,4.44,1.3
5593,3.0,3.89,3.29,3.81,1.95
5601,1.39,3.29,3.04,2.49,2.69
5611,3.18,2.88,2.77,2.77,3.17
5624,3.73,2.58,2.78,3.0,3.36
5652,4.6,2.51,1.97,2.81,3.37
5657,2.93,2.74,2.87,2.75,3.22
5695,3.53,1.94,2.98,2.62,4.1
5701,1.69,4.72,4.15,4.37,1.36
5702,2.99,3.23,3.24,3.34,2.74
5727,4.37,1.49,2.25,2.37,4.22
5731,2.29,3.69,4.45,4.22,1.97
5759,3.43,3.11,2.4,2.93,2.74
5763,1.52,4.26,4.74,4.48,1.55
5789,3.21,2.51,2.35,2.47,3.4
5820,3.1,2.65,3.81,3.43,3.27
5861,2.89,2.68,2.98,2.8,3.27
5890,3.01,2.53,2.65,2.53,3.35
5902,2.83,3.29,3.21,3.08,2.89
5915,1.57,4.72,3.57,3.43,1.71
5916,4.39,1.35,1.54,1.62,4.65
5918,3.62,2.85,2.91,2.81,3.43
5928,2.84,2.83,2.75,2.66,3.22
5930,2.89,2.83,2.8,2.74,3.22
5945,3.68,2.6,2.56,2.77,3.31
5987,2.97,3.69,2.48,2.8,2.38
5993,3.04,3.42,2.84,3.45,2.39
6016,3.3,2.23,2.86,2.26,4.14
6017,2.8,3.71,3.37,3.47,2.38
6037,3.4,2.95,2.76,2.87,3.03
6095,2.56,3.27,3.12,3.0,2.81
6097,1.0,3.79,4.21,3.33,2.3
6108,3.56,2.96,2.53,2.59,3.39
6118,3.98,3.42,2.5,2.95,2.98
6122,3.96,2.69,3.04,3.83,2.82
6124,1.87,4.53,4.33,4.4,1.54
6143,2.65,3.54,3.29,3.01,2.88
6146,2.98,3.29,3.06,3.09,2.82
6149,2.79,3.14,3.26,3.04,3.05
6164,2.42,4.12,3.39,3.78,1.93
6190,2.91,2.85,2.81,2.54,3.38
6252,2.74,3.18,3.12,3.48,2.46
6285,2.69,2.98,3.33,2.84,3.32
6293,2.01,4.72,4.91,5.0,1.0
6318,3.35,3.11,3.38,3.53,2.95
6367,2.03,3.24,2.62,2.84,2.37
6448,3.45,3.68,3.63,4.2,2.19
6484,2.46,3.35,2.93,2.95,2.61
6498,3.89,2.29,2.07,2.72,3.28
6521,1.77,4.49,4.34,4.47,1.42
6626,2.26,4.48,3.52,3.87,1.65
6627,3.32,2.25,2.54,2.2,3.85
6643,2.74,2.66,2.53,2.23,3.48
6650,2.74,2.95,2.56,2.43,3.16
6652,4.32,2.61,2.96,2.94,3.69
6690,2.98,2.86,2.52,2.61,3.12
6700,2.7,2.49,2.59,1.93,3.86
6717,1.05,5.0,3.74,3.99,1.0
6742,3.58,2.05,1.59,2.01,3.66
6794,2.91,2.46,2.77,2.44,3.64
6805,2.66,3.16,2.34,2.77,2.51
6836,2.61,3.38,2.52,2.93,2.4
6843,2.1,3.13,2.85,2.71,2.71
6876,2.99,3.07,3.04,3.01,3.01
6880,2.74,2.58,2.87,2.43,3.64
6899,3.49,3.13,2.52,3.32,2.62
6906,2.94,3.12,2.75,2.46,3.3
6917,1.52,3.8,4.1,3.55,2.1
6948,3.96,2.58,2.52,2.65,3.56
6959,3.44,2.67,3.11,2.34,4.08
6970,4.05,1.53,1.55,1.68,4.29
6974,2.57,2.68,3.16,2.46,3.62
6976,3.41,2.92,2.54,2.75,3.14
6995,2.85,2.75,2.61,2.51,3.24
7006,4.01,2.11,2.51,2.01,4.21
7078,3.09,3.0,2.52,2.72,2.99
7105,3.71,2.05,2.83,2.2,4.38
7120,2.9,3.09,3.48,3.25,2.97
7121,2.68,2.8,2.94,2.54,3.4
7127,3.85,1.97,2.15,1.95,4.24
7209,3.05,2.89,3.17,3.04,3.14
7216,3.79,2.9,3.43,4.16,2.59
7255,3.82,2.94,2.73,3.21,2.87
7262,2.74,2.95,2.92,2.9,3.0
7269,1.99,3.93,3.81,3.67,2.1
7270,3.4,2.36,1.86,2.13,3.48
7276,2.91,2.74,2.64,2.52,3.3
7277,3.3,2.31,2.66,2.39,3.79
7313,3.35,2.45,2.59,2.48,3.63
7327,3.94,1.87,1.65,1.52,4.39
7328,3.15,3.16,3.12,3.25,2.82
7375,2.93,2.9,3.04,2.85,3.12
7398,2.57,3.25,2.92,3.02,2.61
7401,3.24,2.56,2.86,2.86,3.28
7439,3.0,3.55,3.82,3.87,2.52
7447,2.4,3.4,2.53,2.76,2.54
7460,2.84,2.88,3.18,2.95,3.13
7472,2.88,2.35,1.98,1.98,3.5
7475,1.66,4.21,3.4,3.49,1.78
7504,3.8,2.89,2.09,2.6,3.11
7509,1.96,4.2,3.61,3.61,2.01
7518,1.72,4.88,4.5,4.74,1.01
7544,2.7,3.59,5.0,4.89,2.39
7575,3.01,2.68,3.23,3.43,2.95
7576,3.61,2.47,1.84,2.02,3.51
7585,1.67,3.15,2.66,2.2,2.87
7626,3.36,2.82,4.38,3.11,4.08
7630,3.16,3.21,2.91,3.03,2.82
7654,3.09,2.79,2.88,2.94,3.1
7674,3.39,2.47,2.6,2.52,3.69
7680,3.17,2.87,2.51,2.71,3.1
7695,3.31,4.48,3.52,4.24,1.64
7754,3.07,3.06,3.09,3.24,2.8
7766,3.01,2.81,2.83,2.49,3.49
7884,2.08,4.11,3.25,3.75,1.72
7890,3.41,2.98,2.38,2.68,3.1
7891,1.68,3.81,4.28,4.0,2.27
7908,1.72,3.85,3.94,3.29,2.44
7922,2.87,2.8,3.07,2.92,3.2
7971,3.1,3.07,3.2,3.2,2.91
7972,1.28,2.78,3.62,1.96,3.99
8031,4.08,3.44,2.68,3.38,2.72
8042,2.92,3.23,2.84,2.9,2.84
8175,3.35,2.34,2.42,2.4,3.65
8178,3.16,2.95,2.86,2.98,3.07
8213,3.24,2.58,2.79,2.39,3.71
8234,2.92,3.02,3.27,3.11,3.06
8284,1.04,4.67,3.94,4.01,1.3
8331,2.85,3.18,2.93,2.9,2.99
8333,2.71,2.79,3.65,3.16,3.19
8360,2.24,2.37,2.09,1.48,3.89
8395,3.08,3.59,3.95,3.61,2.81
8411,2.95,2.84,2.61,2.64,3.16
8438,2.76,3.5,3.05,3.24,2.41
8454,1.89,3.28,2.01,1.64,3.08
8461,2.76,3.41,3.35,3.53,2.48
8465,2.48,4.05,3.54,3.51,2.17
8485,2.47,3.29,3.44,3.21,2.76
8496,3.2,3.09,3.58,3.99,2.49
8497,3.64,2.42,2.8,2.91,3.46
8501,2.94,3.19,3.14,3.1,2.89
8514,2.9,2.78,2.75,2.55,3.3
8539,3.38,2.84,2.98,3.02,3.2
8548,2.57,3.9,3.63,2.97,2.89
8553,2.81,3.54,3.25,2.69,3.08
8576,2.67,3.13,3.18,3.04,2.92
8577,3.46,2.77,3.24,2.84,3.59
8584,2.98,2.99,3.09,2.92,3.18
8589,3.57,2.02,2.75,2.46,3.93
8599,2.22,3.11,2.99,2.84,2.84
8614,2.72,3.09,3.53,3.24,2.95
8644,2.05,4.72,3.48,3.58,1.68
8658,2.01,4.62,4.39,4.65,1.4
8678,3.74,2.34,3.05,2.75,3.69
8700,2.58,3.12,4.08,3.59,2.95
8774,2.83,3.2,2.85,3.06,2.67
8775,3.34,2.84,2.97,2.48,3.67
8804,2.69,3.14,3.32,3.15,2.94
8879,2.26,3.54,3.56,3.41,2.45
8888,2.18,3.32,3.52,3.42,2.51
8914,1.9,4.88,4.61,5.0,1.0
8917,3.23,2.42,2.58,2.62,3.37
8928,3.78,2.06,2.59,2.4,4.08
8955,1.98,3.0,2.65,2.1,3.21
8966,4.63,1.99,1.74,2.78,3.57
9034,2.76,3.82,2.83,3.2,2.21
9035,3.61,1.86,4.01,3.22,4.13
9042,3.4,2.29,2.57,2.3,3.84
9092,2.65,2.78,2.68,2.52,3.15
9111,3.46,2.87,2.59,2.97,2.99
9122,2.9,3.03,3.2,3.14,2.97
9168,2.13,3.9,4.36,4.13,2.19
9186,3.79,2.96,2.95,3.3,2.94
9193,3.82,2.36,2.84,2.81,3.67
9197,2.36,3.21,5.0,5.0,2.3
9205,2.82,2.67,3.1,2.76,3.38
9210,1.61,4.28,4.36,4.38,1.44
9224,3.6,2.33,2.37,2.32,3.76
9240,3.0,3.11,2.97,2.73,3.16
9242,3.49,2.45,3.14,3.58,3.0
9247,3.58,2.52,2.61,2.75,3.28
9277,2.93,3.31,4.21,3.21,3.47
9298,2.65,3.57,3.51,3.59,2.42
9318,1.9,3.55,2.91,2.76,2.58
9319,3.55,2.74,2.66,3.01,3.09
9335,1.62,4.03,3.7,3.39,2.24
9339,2.94,2.9,3.24,3.26,2.81
9347,3.62,2.64,2.54,2.77,3.29
9361,3.26,2.89,3.38,3.16,3.15
9386,3.9,2.06,2.73,2.6,3.91
9419,3.11,3.06,3.11,2.93,3.23
9433,2.92,2.85,2.68,2.82,2.98
9444,2.79,3.47,3.22,3.6,2.28
9446,1.51,4.24,4.06,3.76,1.99
9461,2.67,2.44,1.95,1.85,3.42
9469,2.88,3.5,3.1,3.44,2.31
9479,3.45,1.47,2.39,1.85,4.53
9481,2.87,2.65,2.59,2.2,3.63
9568,4.03,1.38,2.56,2.23,4.42
9588,3.84,1.93,2.76,2.37,4.18
9598,3.41,1.85,2.44,2.12,4.24
9608,4.72,1.68,1.68,2.46,3.79
9666,3.7,2.68,2.8,3.0,3.21
9717,3.06,1.0,1.92,1.0,5.0
9733,3.4,2.45,2.93,2.69,3.7
9801,3.73,2.68,2.48,2.9,3.17
9814,3.05,3.05,2.8,2.95,2.95
9820,2.01,3.64,3.02,3.19,2.23
9846,1.69,3.36,3.41,3.22,2.37
9850,3.83,2.38,2.87,2.77,3.62
9907,2.49,3.78,3.5,3.76,2.0
9928,2.95,3.34,3.28,3.61,2.44
9938,3.14,4.39,4.51,4.3,2.02
9939,3.0,3.06,3.06,2.93,3.17
9941,3.64,2.98,2.72,3.36,2.71
9965,2.7,2.53,3.11,2.9,3.24
10045,4.43,2.58,3.14,3.43,3.37
10092,3.2,3.34,2.87,3.39,2.43
10108,5.0,1.0,1.0,1.0,5.0
10125,3.5,2.98,2.83,3.06,3.05
10131,2.55,3.44,2.92,3.18,2.34
10153,1.91,4.36,4.31,4.38,1.7
10156,3.51,2.19,2.96,2.9,3.67
10170,2.72,3.62,3.2,2.94,2.79
10183,3.39,2.64,2.58,2.71,3.33
10196,1.69,4.7,4.08,4.33,1.31
10225,2.65,3.3,3.3,3.07,2.86
10233,4.52,2.8,2.74,3.54,2.89
10246,3.57,2.59,1.92,2.32,3.2
10257,2.67,2.63,3.37,2.71,3.57
10263,3.31,2.31,1.81,1.88,3.7
10351,2.47,3.73,4.18,3.53,2.69
10370,1.95,3.56,2.55,2.76,2.25
10407,3.19,2.5,3.29,2.74,3.77
10416,5.0,1.0,1.0,1.0,5.0
10417,2.66,2.87,2.58,2.19,3.39
10465,3.74,2.83,2.77,3.3,2.88
10484,3.36,2.91,2.95,3.09,3.06
10518,2.23,4.34,4.44,4.49,1.81
10524,2.77,4.57,4.23,4.84,1.73
10534,3.11,3.44,3.48,3.91,2.24
10537,2.15,3.39,2.44,2.45,2.68
10543,2.95,2.99,3.02,3.21,2.8
10554,4.18,1.68,1.25,1.88,3.96
10576,4.15,2.49,2.56,3.36,3.04
10605,4.2,2.07,2.19,2.42,3.94
10614,3.11,3.11,2.71,2.94,2.86
10615,2.27,4.1,3.02,3.23,2.14
10640,2.05,3.3,2.91,2.62,2.8
10666,2.18,4.17,3.49,3.6,1.86
10681,3.0,3.11,3.79,3.11,3.41
10749,3.57,2.81,2.62,3.06,3.02
10770,3.59,2.35,2.6,2.61,3.6
10781,3.26,2.46,2.38,2.46,3.43
10803,2.13,3.42,3.0,2.79,2.67
10946,2.47,4.38,5.0,5.0,1.46
10954,2.8,3.67,3.26,3.72,2.12
10981,4.49,3.93,3.39,3.99,2.34
11031,2.67,3.24,3.73,3.13,3.14
11086,3.03,2.99,3.09,3.22,2.85
11088,3.73,3.06,3.34,2.8,3.73
11094,2.9,2.93,3.03,2.98,3.05
11133,3.09,2.75,2.6,2.73,3.01
11159,3.02,2.62,2.49,2.4,3.34
11201,2.7,2.38,2.6,1.66,4.22
11202,2.87,2.88,2.73,2.72,3.16
11205,2.14,3.75,4.03,3.77,2.29
11216,2.89,2.76,3.33,3.08,3.18
11234,3.46,1.94,1.9,1.81,3.98
11238,3.67,2.12,2.41,2.15,3.93
11272,2.63,3.25,2.68,2.79,2.79
11282,3.01,2.52,2.72,2.63,3.29
11298,1.87,3.95,3.01,2.88,2.33
11300,3.18,2.5,2.88,2.72,3.45
11309,3.88,1.27,2.52,1.88,4.71
11343,3.86,2.67,2.04,2.48,3.27
11350,1.67,3.54,2.23,2.2,2.47
11405,3.17,3.86,4.06,4.45,1.91
11423,3.47,2.25,2.4,2.04,4.14
11450,4.38,1.0,1.53,2.04,4.06
11476,2.81,3.49,4.82,3.77,3.1
11487,2.31,4.14,3.34,3.43,2.11
11494,2.95,3.24,3.27,3.34,2.74
11496,2.73,3.31,3.49,3.65,2.57
11502,2.37,2.64,2.67,2.43,3.18
11523,3.58,2.88,2.54,3.06,2.82
11535,3.12,2.44,2.04,2.07,3.5
11540,2.62,3.78,3.78,3.76,2.38
11555,4.02,2.32,1.83,2.12,3.85
11622,2.16,3.33,4.22,3.61,2.74
11643,2.72,2.81,3.01,2.74,3.25
11662,3.2,3.13,2.4,2.53,3.03
11702,2.99,2.78,2.98,2.72,3.36
11713,2.15,4.0,4.39,3.62,2.42
11776,3.53,3.3,3.21,3.65,2.58
11870,2.9,2.78,3.09,2.81,3.28
11928,2.42,3.49,3.3,3.25,2.52
11971,1.68,4.9,4.29,4.58,1.24
11984,3.04,2.59,2.76,2.7,3.35
11985,2.67,2.94,4.0,3.78,2.76
11988,2.83,4.09,4.8,4.92,2.0
12006,3.09,3.19,2.76,3.21,2.61
12030,3.82,1.83,2.67,2.22,4.3
12052,2.92,2.92,2.98,2.78,3.15
12068,3.12,2.92,3.0,3.12,2.98
12093,3.42,3.56,2.02,2.63,2.67
12097,3.05,3.17,2.74,2.73,3.02
12105,3.72,2.67,4.05,4.24,2.79
12129,1.96,3.06,3.28,2.64,3.14
12151,3.3,2.9,2.75,2.94,3.07
12159,4.1,1.7,2.41,2.21,4.27
12163,2.29,4.21,4.42,4.34,1.99
12178,3.49,2.19,2.66,2.72,3.52
12179,3.59,1.85,2.54,2.13,4.15
12180,2.04,3.38,3.82,3.03,2.98
12191,2.39,3.51,3.08,3.1,2.73
12202,3.15,2.85,3.2,2.88,3.37
12226,3.22,2.84,2.42,2.43,3.32
12228,2.71,3.4,2.81,2.8,2.69
12231,3.82,2.25,2.93,2.51,4.07
12266,3.45,2.24,2.74,2.48,3.88
12277,2.3,2.54,3.6,3.62,2.71
12282,2.95,2.89,2.3,2.71,2.92
12283,2.3,3.11,3.42,3.24,2.75
12322,4.04,1.99,1.86,2.13,3.88
12352,3.03,3.6,4.03,3.77,2.76
12355,2.14,3.82,2.8,2.6,2.62
12360,2.48,3.22,4.01,4.11,2.1
12370,2.84,3.19,3.21,3.13,2.84
12381,1.83,3.92,4.52,3.91,2.45
12390,2.86,2.5,3.08,2.89,3.36
12408,2.56,3.17,3.22,3.11,2.75
12411,3.17,2.87,3.44,3.17,3.35
12436,3.73,2.11,2.46,2.46,3.77
12476,4.26,2.97,3.24,3.98,2.73
12482,2.92,2.93,3.08,3.03,3.02
12534,3.11,2.31,2.93,2.67,3.61
12551,2.79,3.21,2.81,3.02,2.72
12601,2.14,3.7,2.86,3.04,2.29
12643,4.29,1.59,1.24,1.47,4.31
12661,1.7,5.0,3.86,3.92,1.17
12674,4.19,2.69,2.47,3.57,2.75
12683,2.58,4.61,4.2,4.21,1.69
12695,2.79,3.45,3.59,3.82,2.19
12710,2.9,3.36,2.79,2.86,2.7
12720,3.44,2.94,3.3,3.31,3.12
12815,2.57,3.4,3.32,3.37,2.58
12816,3.48,3.06,2.66,3.05,2.9
12818,2.59,3.38,3.2,3.15,2.66
12834,3.15,2.72,2.76,2.68,3.31
12848,3.09,2.64,3.18,2.85,3.43
12864,3.43,2.28,2.59,2.47,3.67
12894,3.01,2.84,2.72,2.55,3.25
12904,2.83,2.27,2.95,2.2,4.05
12906,2.55,3.26,3.75,4.05,2.17
12935,3.44,2.52,3.19,2.63,3.9
12950,3.92,2.84,2.37,2.75,3.13
12955,3.11,2.78,3.3,3.29,3.09
12962,2.51,3.77,3.1,3.17,2.48
12981,3.9,1.96,2.8,3.0,3.74
12988,2.68,3.26,3.09,3.21,2.63
12990,4.08,3.71,2.55,3.99,1.98
